schemaname,tablename,indexname,indexdef
public,eventos_turno,idx_et_actor,CREATE INDEX idx_et_actor ON public.eventos_turno USING btree (actor_user_id)
public,eventos_turno,idx_et_tipo,CREATE INDEX idx_et_tipo ON public.eventos_turno USING btree (tipo_id)
public,eventos_turno,idx_et_turno_ts_desc,"CREATE INDEX idx_et_turno_ts_desc ON public.eventos_turno USING btree (turno_id, ts DESC)"
public,inspectores,inspectores_pkey,CREATE UNIQUE INDEX inspectores_pkey ON public.inspectores USING btree (id)
public,movil_tipo,movil_tipo_nombre_key,CREATE UNIQUE INDEX movil_tipo_nombre_key ON public.movil_tipo USING btree (nombre)
public,movil_tipo,movil_tipo_pkey,CREATE UNIQUE INDEX movil_tipo_pkey ON public.movil_tipo USING btree (id)
public,movil_uso_kilometraje,idx_uso_km_uso_ts,"CREATE INDEX idx_uso_km_uso_ts ON public.movil_uso_kilometraje USING btree (uso_id, lectura_ts)"
public,movil_uso_kilometraje,movil_uso_kilometraje_pkey,CREATE UNIQUE INDEX movil_uso_kilometraje_pkey ON public.movil_uso_kilometraje USING btree (id)
public,movil_usos,idx_usos_inspector_inicio,"CREATE INDEX idx_usos_inspector_inicio ON public.movil_usos USING btree (inspector_id, inicio_ts)"
public,movil_usos,idx_usos_movil_interval,"CREATE INDEX idx_usos_movil_interval ON public.movil_usos USING btree (movil_id, inicio_ts, fin_ts)"
public,movil_usos,idx_usos_turno,CREATE INDEX idx_usos_turno ON public.movil_usos USING btree (turno_id)
public,movil_usos,movil_usos_pkey,CREATE UNIQUE INDEX movil_usos_pkey ON public.movil_usos USING btree (id)
public,moviles,idx_moviles_estado,CREATE INDEX idx_moviles_estado ON public.moviles USING btree (estado)
public,moviles,idx_moviles_tipo,CREATE INDEX idx_moviles_tipo ON public.moviles USING btree (tipo_id)
public,moviles,moviles_patente_key,CREATE UNIQUE INDEX moviles_patente_key ON public.moviles USING btree (patente)
public,moviles,moviles_pkey,CREATE UNIQUE INDEX moviles_pkey ON public.moviles USING btree (id)
public,notificaciones_enviadas,idx_notificaciones_enviadas_usuario_id_fk_dfd71e,CREATE INDEX idx_notificaciones_enviadas_usuario_id_fk_dfd71e ON public.notificaciones_enviadas USING btree (usuario_id)
public,notificaciones_enviadas,notificaciones_enviadas_pkey,CREATE UNIQUE INDEX notificaciones_enviadas_pkey ON public.notificaciones_enviadas USING btree (id)
public,perfiles_ciudadanos,perfiles_ciudadanos_pkey,CREATE UNIQUE INDEX perfiles_ciudadanos_pkey ON public.perfiles_ciudadanos USING btree (usuario_id)
